rank,team,group,confederation,elo,P_champion,champ_SE,P_market,P_consensus,value_vs_market,P_reach_Final,P_reach_SF,P_reach_QF,P_reach_R16,P_reach_R32
20,Turkey,D,UEFA,1849.0,0.00522,0.00016113273410452638,0.003860964460052581,0.004749986132450235,0.001359035539947419,0.01612,0.05354,0.17263,0.42786,0.740365
21,Austria,J,UEFA,1857.0,0.004745,0.0001536633491597785,0.004219876664812345,0.0046909024014702505,0.0005251233351876551,0.013885,0.048805,0.122495,0.254715,0.790155
22,Senegal,I,CAF,1839.0,0.004465,0.00014908158462734425,0.003454942799678014,0.004146221187935594,0.0010100572003219864,0.016085,0.051155,0.148245,0.33894,0.721375
23,Australia,D,AFC,1839.0,0.004245,0.00014537847115374407,0.003454942799678014,0.004032535286881983,0.0007900572003219858,0.01381,0.04781,0.1572,0.40355,0.719375
24,Canada,B,CONCACAF,1767.0,0.004255,0.0001455488745233023,0.0015524058692635752,0.002817939447353576,0.002702594130736425,0.016015,0.05421,0.196365,0.54085,0.9484
25,South Korea,A,AFC,1786.0,0.001925,9.801261079575423e-05,0.0019172982093230465,0.0020025598824802374,7.70179067695353e-06,0.00925,0.033735,0.12517,0.397415,0.843415
26,Scotland,C,UEFA,1794.0,0.001785,9.438786402393053e-05,0.002095528735558118,0.0019995123008902074,-0.0003105287355581181,0.008355,0.02947,0.095565,0.22914,0.772435
27,Paraguay,D,CONMEBOL,1780.0,0.001155,7.594952188789605e-05,0.0017936458672103224,0.0014674213131943546,-0.0006386458672103224,0.00469,0.02069,0.08069,0.25901,0.55968
28,Iran,G,AFC,1756.0,0.000875,6.611483853871231e-05,0.0013738041986870214,0.00111717402431741,-0.0004988041986870214,0.003805,0.01828,0.08664,0.31982,0.779855
29,Sweden,F,UEFA,1755.0,0.00077,6.202447500785476e-05,0.0013586241971051552,0.0010361450488844623,-0.0005886241971051553,0.00408,0.015965,0.06912,0.20378,0.643175
30,Algeria,J,CAF,1759.0,0.00065,5.699024039254441e-05,0.0014203694479469429,0.0009630587444989812,-0.0007703694479469429,0.00275,0.01287,0.05125,0.141315,0.55204
31,Ivory Coast,E,CAF,1743.0,0.00053,5.146450718699247e-05,0.0011890316479125783,0.000794611611439634,-0.0006590316479125783,0.00368,0.01503,0.05688,0.233485,0.76006
32,Panama,L,CONCACAF,1730.0,0.000375,4.329315043976356e-05,0.0010291104519034818,0.0006155985027995319,-0.0006541104519034818,0.00203,0.01002,0.04202,0.148735,0.630555
33,Czech Republic,A,UEFA,1712.0,0.00036,4.24187694305245e-05,0.0008425643752873597,0.0005501073669495921,-0.0004825643752873597,0.00245,0.011565,0.059085,0.245625,0.69803
34,Egypt,G,CAF,1711.0,0.000305,3.9045292609993333e-05,0.000833254366945625,0.0004996669130056385,-0.0005282543669456251,0.001355,0.00878,0.05141,0.233295,0.68174
35,Uzbekistan,K,AFC,1714.0,0.000275,3.707589344843898e-05,0.0008614976182989284,0.0004791483427511995,-0.0005864976182989284,0.00133,0.00673,0.026665,0.10317,0.440305
36,DR Congo,K,CAF,1652.0,6e-05,1.7319988452652043e-05,0.000432586974159532,0.000152121285354863,-0.000372586974159532,0.000325,0.00186,0.00942,0.04687,0.268765
37,Bosnia and Herzegovina,B,UEFA,1616.0,2.5e-05,1.118020013237688e-05,0.0002899717204330354,7.850462356293808e-05,-0.0002649717204330354,0.000365,0.002595,0.024145,0.13439,0.58311
38,Saudi Arabia,H,AFC,1598.0,2.5e-05,1.118020013237688e-05,0.00023740876504145707,7.174659143836021e-05,-0.00021240876504145705,9.5e-05,0.00078,0.00693,0.034885,0.287735
39,Iraq,I,AFC,1592.0,2e-05,9.999899999499995e-06,0.0002220975580040133,6.158457934951603e-05,-0.0002020975580040133,6e-05,0.000435,0.004105,0.020805,0.11188
40,Tunisia,F,CAF,1585.0,1e-05,7.0710324564380276e-06,0.00020547799707987645,4.061704045897128e-05,-0.00019547799707987645,7e-05,0.000575,0.00486,0.02864,0.18531
41,New Zealand,G,OFC,1578.0,1e-05,7.0710324564380276e-06,0.00019010207794898298,3.921981542051676e-05,-0.00018010207794898298,7.5e-05,0.00058,0.006635,0.0573,0.30255
42,Jordan,J,AFC,1653.0,5e-06,4.999987499984375e-06,0.0004374202981692385,3.898043965472749e-05,-0.00043242029816923847,0.000235,0.00172,0.01093,0.044835,0.25701
43,Cape Verde,H,CAF,1606.0,5e-06,4.999987499984375e-06,0.00025947809620778485,3.081457236459391e-05,-0.00025447809620778483,0.000105,0.00106,0.008275,0.03846,0.30553
44,Haiti,C,CONCACAF,1536.0,5e-06,4.999987499984375e-06,0.000119210938169535,2.171348090871139e-05,-0.000114210938169535,3.5e-05,0.00023,0.00161,0.010345,0.125455
45,South Africa,A,CAF,1511.0,0.0,0.0,9.029812858690963e-05,1.7701548861799444e-07,-9.029812858690963e-05,2e-05,0.000175,0.00242,0.02453,0.16746
46,Ghana,L,CAF,1510.0,0.0,0.0,8.930036941853693e-05,1.7613254124536195e-07,-8.930036941853693e-05,1e-05,8e-05,0.000945,0.007615,0.101745
47,Qatar,B,AFC,1447.0,0.0,0.0,4.434525107638925e-05,1.2853697439018882e-07,-4.434525107638925e-05,1.5e-05,3.5e-05,0.001265,0.01481,0.14955
48,Curacao,E,CONCACAF,1427.0,0.0,0.0,3.550890117860171e-05,1.163046029064336e-07,-3.550890117860171e-05,0.0,5e-06,0.00016,0.00392,0.05737
